Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FRD,Friedman Industries Inc. Common Stock,$8.23,-0.10,-1.20%,56835137.00,United States,,63922,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$4.09,-0.25,-5.76%,50063829.00,Canada,,94769,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$6.22,-0.34,-5.183%,667581398.00,United States,,587654,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.35,0.07,0.754%,281798107.00,United States,2003,117007,,
FTSI,FTS International Inc. Class A Common Stock,$24.91,-1.26,-4.815%,348490153.00,United States,2020,71714,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.34,-0.02,-1.471%,157883968.00,,2020,152347,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.21,-0.06,-4.724%,271346762.00,Canada,,3751246,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$5.77,-0.45,-7.235%,29611265.00,United States,,848888,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.05,-0.44,-4.194%,127190639.00,United States,2017,35898,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.47,-0.06,-1.70%,541750391.00,United States,2005,794850,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.52,0.11,0.433%,,United States,,5557,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$15.19,0.00,0.00%,23520606.00,,2016,12,,
GLDG,GoldMining Inc. Common Shares,$1.67,-0.08,-4.571%,248382677.00,,,394090,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.78,0.09,0.709%,411827985.00,United States,2006,132844,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.78,0.08,0.51%,208782482.00,United States,2005,74257,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.4993,-0.0307,-0.157%,104781009.00,United States,2004,2976,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$44.63,0.01,0.022%,,United States,,363,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.48,0.02,0.175%,96520672.00,United States,2004,34123,,
GOED,1847 Goedeker Inc. Commom Stock,$10.20,-0.80,-7.273%,62334240.00,United States,2020,28596,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.85,-0.02,-0.697%,212151734.00,United States,,904117,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.8219,-0.0201,-2.387%,291832372.00,Canada,,1923497,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.30,0.0044,0.053%,33816864.00,United States,,2357,,
GROY,Gold Royalty Corp. Common Shares,$4.845,-0.125,-2.515%,197797125.00,,2021,504782,Basic Industries,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.62,-0.11,-6.358%,2718163549.00,United States,2006,13229414,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.14,-0.03,-0.946%,349524688.00,United States,,161551,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6449,-0.0333,-4.91%,230536405.00,Canada,,5088520,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8143,-0.038,-4.459%,298833081.00,Canada,,7681941,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$26.33,0.3185,1.224%,,United States,,28970,,
HMG,HMG/Courtland Properties Inc. Common Stock,$13.00,0.00,0.00%,13094224.00,United States,,49,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.77,-0.005,-0.034%,123075308.00,United States,2007,47622,,
HUSA,Houston American Energy Corporation Common Stock,$2.15,-0.10,-4.444%,19535412.00,United States,,699656,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$79.00,0.00,0.00%,,United States,,14,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.86,0.04,0.687%,135521296.00,United States,,73112,,
IBIO,iBio Inc. Common Stock,$1.76,-0.06,-3.297%,380177479.00,United States,,4770464,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.00,-0.24,-3.315%,230114199.00,United States,2017,29778,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.83,-0.08,-4.188%,83020371.00,United States,,1735865,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.89,-0.02,-0.687%,26277065.00,United States,,139602,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.09,-0.22,-9.524%,44370401.00,United States,1997,600524,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$24.66,-0.71,-2.799%,18102332778.00,Canada,,1083485,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$7.65,-0.37,-4.613%,56670856.00,,2019,124261,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$19.80,-0.46,-2.27%,400691254.00,United States,,104815,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$39.02,0.30,0.775%,348405093.00,United States,1992,44458,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$10.15,0.09,0.895%,106870598.00,United States,1997,43808,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.21,-0.08,-6.202%,143404607.00,United States,,5120246,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.40,-0.10,-0.87%,47517640.00,United States,,468,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$25.42,0.5859,2.359%,95858871.00,United States,,32791,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.31,-0.05,-3.676%,184971807.00,United States,,6370130,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.7074,-0.0236,-3.228%,70010246.00,China,,6322474,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.17,0.01,0.316%,173107921.00,,,37226,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.67,-0.03,-1.765%,29504095.00,United States,,137805,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.9691,-0.0609,-5.913%,52496230.00,Canada,,1405840,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$16.49,-1.14,-6.466%,499460449.00,United States,2018,328545,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.36,-0.07,-2.881%,353955979.00,United States,,1150736,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$25.94,-0.46,-1.742%,318314020.00,United States,2014,152942,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$14.195,0.3212,2.315%,74656416.00,United States,,11429,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$74.95,-1.18,-1.55%,19002004921.00,United States,,1504636,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.50,-0.20,-4.255%,191049818.00,United States,,2111317,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.79,-0.04,-0.686%,150869335.00,United States,2017,79803,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$35.99,0.93,2.653%,319407291.00,,2020,82202,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$21.94,-0.12,-0.544%,606337197.00,United Kingdom,2012,100690,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$16.09,-0.39,-2.367%,1524419407.00,Canada,,1043660,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.30,-0.24,-5.286%,856332014.00,United States,,856985,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$17.61,-0.41,-2.275%,200397380.00,United States,,23150,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$4.30,-0.14,-3.153%,273881917.00,United States,2015,941007,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.52,0.10,1.845%,775495466.00,,,575086,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.53,0.08,5.517%,32195258.00,United States,,307274,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$9.53,-0.37,-3.737%,377541585.00,,,294808,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.16,-0.05,-4.132%,231584439.00,United States,2017,1570720,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.3605,-0.0195,-0.233%,17320164.00,United States,,18380,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$14.43,-0.35,-2.368%,80560814.00,United States,2017,77030,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.733,-0.0347,-4.52%,373131181.00,Canada,,16209516,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$2.27,0.00,0.00%,63525199.00,United States,,275452,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.07,0.02,0.199%,150244400.00,,2020,106501,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.09,0.18,1.131%,302783165.00,United States,2002,23874,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.40,0.02,0.162%,62959971.00,United States,2002,9202,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.43,-0.05,-0.371%,74550521.00,United States,2002,8051,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.04,-0.01,-0.952%,43453887.00,United States,2007,1068664,Health Care,Major Pharmaceuticals
