Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SDPI,Superior Drilling Products Inc. Common Stock,$1.02,-0.04,-3.774%,26129836.00,,2014,300453,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3747.12,-22.96,-0.609%,4349578206.00,United States,1996,1268,Consumer Services,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$2.89,-0.27,-8.544%,1092082642.00,United States,,32629483,Capital Goods,Industrial Machinery/Components
SIF,SIFCO Industries Inc. Common Stock,$14.19,-0.18,-1.253%,84561460.00,United States,,140735,Capital Goods,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$8.21,-0.19,-2.262%,1185178884.00,,2018,1060954,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.01,0.10,0.775%,2158398954.00,Mexico,1993,1739,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.02,0.02,0.667%,491656000.00,,,417112,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$1.15,-0.09,-7.258%,62875376.00,United States,,195314,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$4.85,2.92,151.295%,33461707.00,United States,,195955216,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$7.28,0.07,0.971%,536464569.00,United States,,265074,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.30,-0.11,-2.033%,929398524.00,,,893665,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$9.09,0.29,3.295%,22619801.00,United States,,610,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.8055,-0.0745,-8.466%,104436760.00,United States,,14953440,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.78,-0.02,-1.111%,503795223.00,Canada,,4220011,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.35,-0.04,-2.878%,263126048.00,Canada,,341814,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$5.99,-2.40,-28.605%,67515560.00,,,2379057,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$2.19,-0.27,-10.976%,25949378.00,United States,2015,9735833,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$88.31,-3.04,-3.328%,1322868346.00,United States,,36141,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.14,-0.06,-2.727%,308557460.00,Canada,,321572,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.24,-0.22,-8.943%,72065520.00,,,57999,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$4.8305,-0.2395,-4.724%,17923836.00,United States,,52710,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.6677,-0.0203,-2.951%,167328448.00,Canada,,1929836,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$1.24,-0.14,-10.145%,127472124.00,United States,,5002794,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$7.47,-0.71,-8.68%,439247750.00,United States,,3368453,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$3.23,0.52,19.188%,642960270.00,Canada,,29639521,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.58,-0.06,-0.904%,64346787.00,United States,2015,5045,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.28,-0.02,-1.538%,241755264.00,Canada,,10952767,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.57,-0.09,-3.383%,329855786.00,,2017,818530,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$32.71,0.21,0.646%,1821846907.00,United States,2004,226764,,
UUU,Universal Security Instruments Inc. Common Stock,$7.00,-0.49,-6.542%,16190209.00,United States,,306847,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$7.05,-0.13,-1.811%,977452002.00,,,12342796,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.3201,0.0201,0.141%,69267756.00,United States,1993,7146,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$12.99,-0.1007,-0.769%,58824475.00,United States,1993,12025,,
VGZ,Vista Gold Corp Common Stock,$1.01,0.00,0.00%,104411481.00,United States,,222422,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.79,-0.12,-1.211%,246279688.00,,2021,178599,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.85,-0.07,-0.587%,526039879.00,United States,,92787,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.22,0.03,0.227%,152095770.00,United States,1993,4179,,
VNRX,VolitionRX Limited Common Stock,$3.58,-0.34,-8.673%,188756037.00,Singapore,2015,438507,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$3.48,0.21,6.422%,75643281.00,United States,,276546,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.6832,-0.1668,-4.332%,93319183.00,,2021,82785,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.43,-0.02,-1.379%,193904618.00,Canada,2011,559250,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.76,-0.06,-3.297%,38183218.00,United States,,88567,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$11.67,0.21,1.832%,98713426.00,United States,,84334,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.9311,-0.0889,-8.716%,54356795.00,United States,,3223720,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$2.77,-0.13,-4.483%,240179182.00,United States,,393194,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$2.82,-0.17,-5.686%,421914328.00,United States,,2298446,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$4.06,-0.31,-7.094%,212285679.00,United States,2017,670090,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$9.12,0.0193,0.212%,,United States,,11100,,
ZDGE,Zedge Inc. Class B Common Stock ,$12.48,1.21,10.736%,156296862.00,,2016,1587433,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$2.26,-0.23,-9.237%,2196759116.00,United States,2017,180850931,Health Care,Major Pharmaceuticals
